ef_search,recall,qps
2000,1.0000,4.1
1900,1.0000,4.1
1800,1.0000,4.3
1700,1.0000,4.3
1600,1.0000,4.3
1500,1.0000,4.2
1400,1.0000,4.3
1300,1.0000,4.3
1200,1.0000,4.3
1100,1.0000,4.3
1000,1.0000,4.3
900,1.0000,4.3
800,1.0000,4.3
700,1.0000,4.3
600,1.0000,4.4
500,1.0000,4.4
400,1.0000,4.4
300,1.0000,4.5
250,1.0000,4.5
200,1.0000,4.5
180,1.0000,4.5
160,1.0000,4.6
140,1.0000,4.5
120,1.0000,4.5
100,1.0000,4.6
90,1.0000,4.6
80,1.0000,4.6
70,1.0000,4.6
60,1.0000,4.6
55,1.0000,4.6
50,1.0000,4.6
45,1.0000,4.6
40,1.0000,4.6
35,1.0000,4.6
30,1.0000,4.6
25,1.0000,4.6
20,1.0000,4.6
15,1.0000,4.6
10,1.0000,4.6
