probes,recall,qps
1,1.0000,11.6
2,1.0000,11.8
3,1.0000,11.7
5,1.0000,11.7
10,1.0000,11.7
20,1.0000,11.9
30,1.0000,11.5
50,1.0000,11.7
100,1.0000,11.6
200,1.0000,11.3
500,1.0000,11.5
1000,1.0000,11.3
