efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.042,2786.88,10.2553,25.365
1400,0.042,4470.97,10.2696,25.365
1100,0.042,4513.35,10.2698,25.365
1000,0.042,3775.71,10.2652,25.365
900,0.042,3566.07,10.2636,25.365
800,0.042,3697.69,10.2646,25.365
700,0.042,4088.89,10.2674,25.365
600,0.042,4149.72,10.2677,25.365
500,0.042,4524.89,10.2698,25.355
400,0.042,4718.53,10.2708,25.31
300,0.042,5815.81,10.275,24.285
250,0.041,6419.69,10.2767,23.39
200,0.041,7654.33,10.2794,22.29
180,0.04,7583.27,10.2793,21.59
160,0.0395,8257.97,10.2804,20.82
140,0.0395,9445.46,10.282,20.185
120,0.0375,10032.2,10.2827,19.32
100,0.0325,11480.4,10.284,17.995
90,0.0315,11531.4,10.284,17.205
80,0.031,12991.9,10.2851,16.47
70,0.0305,14040.9,10.2857,15.465
60,0.0295,15060.1,10.2862,14.22
55,0.0295,16244.1,10.2867,13.675
50,0.028,16688.8,10.2869,12.87
45,0.0275,17109.8,10.287,12.36
40,0.0265,13058.2,10.2851,11.67
35,0.026,15678.8,10.2865,11
30,0.024,17029.9,10.287,10.005
25,0.023,20714.7,10.2881,8.74
20,0.021,22949.2,10.2886,7.495
15,0.0165,24195.6,10.2888,6.24
10,0.0125,28332.2,10.2895,5.01
