efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.684,62.9796,8.4989,3794.59
1400,0.675,78.5844,8.73291,3407.41
1100,0.66,98.4245,8.93302,2956.1
1000,0.6505,108.923,9.01185,2789.11
900,0.64,116.023,9.05771,2605.41
800,0.63,131.463,9.14153,2415.32
700,0.6165,159.514,9.2547,2204.27
600,0.6065,191.505,9.34528,1986.94
500,0.578,228.332,9.41941,1753.13
400,0.552,286.663,9.49915,1491.45
300,0.519,373.411,9.57284,1204.98
250,0.4995,444.546,9.61228,1046.5
200,0.4635,537.701,9.64842,877.575
180,0.449,617.494,9.67084,806.18
160,0.4315,625.917,9.67288,729.85
140,0.409,714.331,9.69142,657.475
120,0.3815,838.514,9.71093,581.055
100,0.35,950.038,9.72415,502.875
90,0.333,1070.52,9.73537,460.505
80,0.313,1212.65,9.74575,416.755
70,0.297,1363.21,9.75441,372.325
60,0.2735,1565.34,9.76343,329.92
55,0.2565,1511.34,9.76126,307.605
50,0.245,1791.52,9.77113,286.415
45,0.22,1953.26,9.77554,262.115
40,0.2015,2199.59,9.78103,238.13
35,0.1855,2340.19,9.78364,212.725
30,0.1655,2840.76,9.79085,188.8
25,0.142,3042.93,9.79309,162.055
20,0.124,4124.9,9.80137,136.265
15,0.0935,5175.6,9.8061,108.58
10,0.0665,6917.98,9.81078,78.84
