efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.871,63.7347,4.13574,8639.09
1400,0.862,79.9313,4.19084,7373.32
1100,0.851,105.753,4.24519,6063.35
1000,0.846,117.251,4.26196,5618.19
900,0.8405,131.006,4.27829,5164.85
800,0.8385,147.456,4.29394,4700.35
700,0.829,169.079,4.30999,4225.02
600,0.821,197.167,4.3257,3741.28
500,0.7965,235.746,4.34128,3252.84
400,0.7725,295.024,4.3574,2739.45
300,0.732,387.795,4.37286,2223.95
250,0.719,459.656,4.38058,1952.17
200,0.6975,571.51,4.38876,1665.27
180,0.681,632.767,4.39203,1546.81
160,0.664,705.955,4.39519,1425.04
140,0.6485,801.433,4.39845,1295.12
120,0.6205,934.519,4.40189,1159.5
100,0.5955,1081.02,4.40471,1018.41
90,0.584,1195.7,4.40643,944.06
80,0.5705,1315.38,4.40791,868.25
70,0.552,1501.54,4.40974,789.7
60,0.5255,1719.87,4.41138,707.145
55,0.507,1863.22,4.41225,664.87
50,0.493,2028.56,4.41311,621.055
45,0.468,2253.95,4.41407,576.22
40,0.4395,2433.54,4.4147,529.625
35,0.3985,2746.5,4.41562,480.825
30,0.357,3111.28,4.41645,430.785
25,0.304,3618.87,4.41733,377.63
20,0.267,4415.1,4.4183,322.945
15,0.22,5541.39,4.4192,265.53
10,0.1245,7776.01,4.42021,203.445
