L,Cmps,QPS,Recall
1700,33710,83.1601,86.15
1400,28843,98.5707,84.5
1100,23594,120.482,81.95
1000,21700,132.275,80.75
900,19801,146.092,79.5
800,18001,161.16,78.45
700,16120,180.343,77.1
600,14162,206.186,76
500,12235,240.096,74.35
400,10102,290.276,72.05
300,7782,381.679,67.8
250,6603,449.438,65.3
200,5440,546.448,62.95
180,4969,598.802,61.9
160,4495,664.452,60.65
140,4002,746.269,59.25
120,3505,851.064,56.9
100,3003,995.025,54.2
90,2756,1086.96,53.15
80,2482,1197.6,50.9
70,2225,1342.28,48.9
60,1931,1538.46,45.6
55,1788,1680.67,43.85
50,1669,1801.8,43.3
45,1519,1980.2,41.95
40,1369,2197.8,40
35,1229,2439.02,38.45
30,1089,2777.78,36.9
25,942,3225.81,34.65
20,803,3773.58,32.2
15,651,4651.16,27.95
10,495,6250,24.4
