nprobe,recall,qps
1,0.0040,7.1
2,0.0059,7.2
3,0.0088,7.4
5,0.0127,7.3
10,0.0210,7.3
20,0.0375,7.3
30,0.0500,7.3
50,0.0808,7.2
100,0.1378,7.1
200,0.2464,7.0
500,0.5691,7.2
1000,0.9849,7.2
