ef,recall,qps
2000,1.0000,7.9
1900,1.0000,7.9
1800,1.0000,7.7
1700,1.0000,7.5
1600,1.0000,7.7
1500,1.0000,7.8
1400,1.0000,7.7
1300,1.0000,7.6
1200,1.0000,7.9
1100,1.0000,7.9
1000,1.0000,7.7
900,1.0000,7.6
800,1.0000,7.8
700,1.0000,7.7
600,1.0000,7.7
500,1.0000,7.8
400,1.0000,7.8
300,1.0000,7.7
250,1.0000,7.9
200,1.0000,7.7
180,1.0000,7.7
160,1.0000,7.8
140,1.0000,7.8
120,1.0000,7.7
100,1.0000,7.6
90,1.0000,7.8
80,1.0000,7.9
70,1.0000,7.8
60,1.0000,7.6
55,1.0000,7.7
50,1.0000,7.7
45,1.0000,7.5
40,1.0000,7.8
35,1.0000,7.6
30,1.0000,7.5
25,1.0000,7.6
20,1.0000,7.7
15,1.0000,7.9
10,1.0000,7.8
