efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9445,42.2416,3.74123,20522.1
1400,0.9395,52.7996,3.80868,17301.9
1100,0.932,70.7467,3.87967,13999.5
1000,0.929,72.891,3.88594,12873.3
900,0.926,85.6812,3.91712,11734.2
800,0.922,89.8153,3.92538,10589.9
700,0.915,104.788,3.95004,9404.12
600,0.907,129.338,3.97851,8218.17
500,0.8975,145.612,3.99223,7011.65
400,0.882,179.333,4.01292,5781.2
300,0.854,233.906,4.03398,4504.72
250,0.83,281.492,4.04578,3844.27
200,0.8025,336.389,4.05529,3174.88
180,0.786,386.79,4.06167,2900.39
160,0.77,446.906,4.06742,2622.98
140,0.7495,533.402,4.07343,2339.8
120,0.7245,633.921,4.07837,2053.55
100,0.6845,747.473,4.08236,1769.05
90,0.659,772.278,4.08307,1622.15
80,0.6445,897.195,4.08608,1470.64
70,0.6185,1021.32,4.08834,1320.26
60,0.587,1092.71,4.08941,1163.1
55,0.5755,1205.76,4.09085,1087.38
50,0.5595,1378.69,4.09259,1008.9
45,0.537,1350.22,4.09233,929.645
40,0.49,1545.17,4.0939,848.89
35,0.4525,1752.6,4.09518,766.75
30,0.422,1864.7,4.09576,679.91
25,0.377,2193.9,4.09711,593.16
20,0.319,2825.22,4.09882,505.775
15,0.2645,3246.81,4.09959,414.795
10,0.1745,4283.2,4.10085,320.65
