efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.8315,49.4844,4.35422,11659.9
1400,0.8235,59.5721,4.42008,9936.35
1100,0.8095,79.5059,4.50386,8150.99
1000,0.8025,83.8797,4.5172,7527.23
900,0.7975,96.7717,4.54985,6893.4
800,0.7845,110.758,4.57702,6238.33
700,0.776,130.434,4.60573,5571.5
600,0.7615,147.926,4.62504,4893
500,0.744,162.447,4.63801,4189.89
400,0.7215,201.187,4.66364,3465.01
300,0.6825,261.981,4.68887,2727.82
250,0.658,311.071,4.70215,2337.48
200,0.6225,380.387,4.71514,1934.18
180,0.612,430.095,4.7219,1772.36
160,0.5935,468.978,4.7262,1604.54
140,0.5715,529.916,4.73169,1438.02
120,0.543,589.041,4.73593,1262.95
100,0.502,716.179,4.7427,1091.22
90,0.478,800.509,4.74601,1002.57
80,0.454,921.218,4.7497,912.16
70,0.4265,999.201,4.75161,821.1
60,0.4,1178.2,4.75505,725.845
55,0.386,1288.02,4.75668,677.195
50,0.3745,1354.45,4.75755,628.03
45,0.3515,1476.74,4.75893,576.915
40,0.3165,1714.23,4.76106,527.295
35,0.2875,1934.82,4.76256,477.245
30,0.249,2112.64,4.76355,423.555
25,0.221,2799.48,4.76619,369.51
20,0.183,3455.19,4.76773,313.945
15,0.144,3650.43,4.76808,255.105
10,0.101,4623.2,4.76939,189.585
