L,Cmps,QPS,Recall
1700,90748,63.756,61.911
1400,78744,74.8935,59.464
1100,65747,89.3232,56.548
1000,61149,95.659,55.385
900,56400,104.397,54.022
800,51490,112.488,52.538
700,46378,123.229,50.826
600,41054,137.478,48.871
500,35492,154.923,46.551
400,29620,178.955,43.633
300,23396,212.445,40.045
250,20112,236.518,37.756
200,16701,264.047,34.965
180,15282,277.57,33.618
160,13848,294.968,32.199
140,12375,314.228,30.55
120,10867,335.008,28.675
100,9328,358.269,26.747
90,8541,371.664,25.595
80,7736,387.852,24.3
70,6920,405.976,22.916
60,6085,421.425,21.382
55,5661,431.742,20.538
50,5231,449.256,19.646
45,4796,457.813,18.705
40,4349,473.799,17.629
35,3897,483.653,16.459
30,3436,497.24,15.206
25,2967,521.431,13.922
20,2479,537.288,12.406
15,1982,559.253,10.71
10,1460,582.581,8.557
