L,Cmps,QPS,Recall
1700,10433,414.147,88.866
1400,9197,465.419,87.668
1100,7840,536.049,85.953
1000,7352,571.527,85.243
900,6844,606.281,84.432
800,6311,646.998,83.475
700,5755,691.898,82.328
600,5168,744.934,81.011
500,4546,810.373,79.251
400,3877,890.948,77.03
300,3146,990.589,74.003
250,2751,1081.43,72.035
200,2333,1168.09,69.635
180,2156,1208.02,68.461
160,1974,1245.02,67.06
140,1786,1293.16,65.486
120,1593,1347.35,63.632
100,1389,1410.84,61.352
90,1284,1449.28,60.033
80,1176,1487.43,58.596
70,1066,1512.63,57.061
60,950,1554.97,55.099
55,889,1575.55,53.991
50,827,1603.85,52.86
45,765,1639.88,51.578
40,700,1663.89,50.062
35,634,1694.92,48.386
30,565,1729.8,46.503
25,493,1770.54,44.34
20,421,1807.01,41.724
15,343,1834.19,38.451
10,258,1890.72,34.263
