L,Cmps,QPS,Recall
1700,2683,1561.77,88.78
1400,2484,1763.05,88.76
1100,2248,2072.97,88.728
1000,2159,2194.91,88.715
900,2063,2346.32,88.696
800,1959,2535.5,88.67
700,1845,2762.43,88.656
600,1719,3042.29,88.628
500,1578,3410.64,88.606
400,1417,3940.11,88.602
300,1228,4757.37,88.648
250,1118,5385.03,88.719
200,995,6265.66,88.832
180,941,6724.95,88.909
160,884,7293.95,88.985
140,822,7987.22,89.075
120,756,8881,89.154
100,684,10070.5,89.26
90,645,10822.5,89.312
80,604,11778.6,89.353
70,561,12903.2,89.406
60,515,14367.8,89.452
55,490,15128.6,89.42
50,464,16260.2,89.376
45,438,17482.5,89.335
40,410,18903.6,89.281
35,381,20746.9,89.141
30,350,22988.5,88.954
25,317,25839.8,88.551
20,281,29850.7,87.873
15,241,35971.2,86.667
10,195,46296.3,84.121
