ef,recall,qps
2000,0.9888,9.2
1900,0.9889,9.4
1800,0.9885,9.6
1700,0.9887,9.8
1600,0.9888,10.0
1500,0.9885,10.2
1400,0.9884,10.3
1300,0.9882,10.5
1200,0.9883,10.7
1100,0.9877,10.9
1000,0.9878,11.1
900,0.9876,11.3
800,0.9877,11.5
700,0.9873,11.7
600,0.9872,12.1
500,0.9866,12.1
400,0.9863,12.2
300,0.9859,12.3
250,0.9845,12.3
200,0.9831,12.3
180,0.9828,12.4
160,0.9827,12.3
140,0.9816,12.4
120,0.9792,12.4
100,0.9759,12.5
90,0.9731,12.5
80,0.9685,12.5
70,0.9647,12.5
60,0.9622,12.5
55,0.9614,12.5
50,0.9586,12.5
45,0.9539,12.5
40,0.9511,12.5
35,0.9478,12.5
30,0.9430,12.5
25,0.9342,12.6
20,0.9206,12.6
15,0.9070,12.5
10,0.8838,12.6
