nprobe,recall,qps
1,0.4825,9.8
2,0.6624,9.8
3,0.7514,9.8
5,0.8353,9.8
10,0.9169,9.7
20,0.9688,9.6
30,0.9847,9.5
50,0.9932,9.4
100,0.9967,9.2
200,0.9985,9.0
500,0.9997,8.4
1000,1.0000,7.8
