ef,recall,qps
2000,0.9993,17.4
1900,0.9999,11.5
1800,0.9999,11.7
1700,0.9999,11.9
1600,0.9999,12.1
1500,0.9999,12.1
1400,0.9999,12.2
1300,0.9999,12.3
1200,0.9999,12.5
1100,0.9999,12.6
1000,0.9999,12.8
900,0.9998,12.9
800,0.9998,13.0
700,0.9998,13.1
600,0.9998,13.3
500,0.9997,13.4
400,0.9996,13.5
300,0.9995,13.6
250,0.9994,13.6
200,0.9990,13.7
180,0.9988,13.8
160,0.9985,13.7
140,0.9981,13.8
120,0.9973,13.8
100,0.9963,13.8
90,0.9954,13.9
80,0.9943,13.8
70,0.9926,13.8
60,0.9902,13.8
55,0.9888,13.9
50,0.9866,13.8
45,0.9842,13.9
40,0.9813,13.9
35,0.9777,13.9
30,0.9722,13.9
25,0.9647,14.0
20,0.9524,13.9
15,0.9337,13.9
10,0.9014,14.0
