nprobe,recall,qps
1,0.2984,23.9
2,0.3942,15.3
3,0.4754,15.0
5,0.5870,15.1
10,0.7336,14.9
20,0.8532,15.0
30,0.9051,15.0
50,0.9507,14.7
100,0.9839,14.4
200,0.9960,13.9
500,0.9997,12.9
1000,1.0000,11.7
