L,Cmps,QPS,Recall
1700,3433,360.36,94.5
1400,3338,400,94.5
1100,3205,439.56,94
1000,3151,454.545,93.5
900,3078,476.19,93.25
800,3008,487.805,93
700,2924,519.481,92.75
600,2815,555.556,92.5
500,2697,588.235,92.25
400,2537,645.161,91.5
300,2290,740.741,91
250,2105,816.327,90.25
200,1886,909.091,88.5
180,1774,975.61,87.25
160,1670,1052.63,86
140,1542,1142.86,84.75
120,1390,1250,83.5
100,1238,1428.57,82.75
90,1146,1538.46,82.75
80,1060,1666.67,81.75
70,962,1818.18,81
60,871,2000,79.75
55,824,2105.26,79.25
50,769,2222.22,78.75
45,710,2500,78
40,656,2666.67,77.5
35,598,2857.14,77
30,529,3076.92,75.25
25,472,3636.36,74.5
20,403,4000,73.5
15,331,5000,72.25
10,257,5714.29,69.75
