L,Cmps,QPS,Recall
1700,33719,59.2242,99.7
1400,30017,67.6819,99.7
1100,25865,79.6178,99.55
1000,24353,85.2152,99.35
900,22775,91.4913,99.35
800,21107,99.3542,99.25
700,19333,109.051,99.2
600,17446,121.433,99.2
500,15417,138.313,99.15
400,13213,161.551,99
300,10791,199.8,98.65
250,9463,227.015,98.65
200,8048,267.023,98.25
180,7447,289.855,98.25
160,6828,312.5,97.95
140,6186,347.826,97.65
120,5519,385.356,97.3
100,4822,440.529,97
90,4459,476.19,96.65
80,4082,518.135,96.2
70,3692,569.801,95.15
60,3291,634.921,94.05
55,3090,675.676,93.9
50,2871,727.273,93.25
45,2662,787.402,92.6
40,2451,840.336,92.05
35,2238,913.242,91.5
30,2007,1010.1,90
25,1770,1129.94,88.65
20,1541,1282.05,87.1
15,1283,1503.76,82.45
10,1003,1869.16,75.6
