ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_equality/sift1m_equality_Q1_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_equality/Q1_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,0.66175,62.9228,20620
1400,0.66175,80.0032,20523.1
1100,0.66175,87.3019,20241.3
1000,0.66175,87.0322,20014.6
900,0.66175,97.7469,19644.2
800,0.66175,101.174,19224.1
700,0.66175,100.949,18772.2
600,0.66175,103.525,18327.1
500,0.66175,104.838,17904.4
400,0.66175,107.055,17480.3
300,0.66175,108.149,16970.2
250,0.66175,113.347,16515.2
200,0.66175,123.793,15650.4
180,0.66175,133.511,14994.2
160,0.66175,141.935,13952.2
140,0.66175,153.163,13095.9
120,0.6618,166.945,12099.2
100,0.6618,184.111,10965.5
90,0.66185,195.37,10384.6
80,0.66185,204.415,9982.57
70,0.6619,215.448,9588.13
60,0.6619,227.946,9197.56
55,0.66185,230.601,8963.85
50,0.66185,238.692,8692.33
45,0.6618,253.389,8359.01
40,0.66175,274.236,7925.17
35,0.6617,303.859,7387.06
30,0.6616,342.466,6713.91
25,0.6615,394.011,5981.22
20,0.6612,480.885,5118.36
15,0.6605,595.238,4282.69
10,0.65715,777.605,3474.35
