ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_equality/sift1m_equality_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_equality/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,0.6701,100.386,26597.5
1400,0.67015,117.206,23481.8
1100,0.6701,141.553,20046.4
1000,0.6701,151.722,18998.8
900,0.67015,162.707,18095.9
800,0.67015,176.041,17191
700,0.67015,191.828,16226.8
600,0.6701,213.402,15166.2
500,0.6701,238.55,13966.2
400,0.67015,277.894,12564.6
300,0.6701,340.483,10867.9
250,0.6701,385.134,9872.52
200,0.6701,449.843,8736.9
180,0.67015,484.262,8229.78
160,0.67015,525.762,7683.73
140,0.6701,577.034,7114.57
120,0.6701,643.294,6499.14
100,0.6702,733.407,5825.31
90,0.67025,789.889,5452.78
80,0.6701,858.001,5067.55
70,0.67,944.287,4657.87
60,0.6698,1056.52,4225.94
55,0.6696,1118.57,4001.5
50,0.6696,1205.55,3757.63
45,0.66955,1292.82,3507.74
40,0.66955,1416.43,3239.3
35,0.6692,1550.39,2964.07
30,0.6686,1749.78,2666.24
25,0.6683,2000,2352.47
20,0.6672,2339.18,2025.84
15,0.66375,2861.23,1658
10,0.6548,3898.64,1246.08
