ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_equality/sift1m_equality_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_equality/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,38.5052,79938.1
1400,1,44.4365,70005.5
1100,1,55.1739,59235.2
1000,1,60.8735,55411.5
900,1,63.7064,51445.9
800,1,71.3674,47329.4
700,1,83.9877,43022.4
600,1,95.1068,38503.6
500,1,109.782,33737.4
400,1,131.614,28640.7
300,1,166.168,23137
250,0.99995,193.48,20172.8
200,0.9999,232.477,17049
180,0.9999,254.323,15731.4
160,0.99985,279.33,14373.4
140,0.9995,309.167,12984.4
120,0.9994,354.988,11521.7
100,0.99905,412.797,9999.67
90,0.9989,450.248,9205.51
80,0.9984,492.247,8382.58
70,0.99815,552.792,7550.22
60,0.9973,632.911,6674.35
55,0.99645,680.272,6229.21
50,0.9954,735.835,5771.42
45,0.9938,804.829,5305.02
40,0.9915,885.347,4826.78
35,0.98905,992.556,4334.26
30,0.98545,1133.79,3824.45
25,0.97875,1323.63,3298.41
20,0.96925,1470.59,2750.67
15,0.95075,1841.62,2180.79
10,0.9106,2574,1580.02
