L,Cmps,QPS,Recall
1700,220,5714.29,100
1400,220,6666.67,100
1100,220,8000,100
1000,220,8000,100
900,220,8000,100
800,220,8000,100
700,220,8000,100
600,220,8000,100
500,220,8000,100
400,220,8000,100
300,220,8000,100
250,220,8000,100
200,220,8000,100
180,219,8000,100
160,218,10000,100
140,217,10000,100
120,213,10000,100
100,211,10000,100
90,210,10000,100
80,209,13333.3,100
70,208,13333.3,100
60,206,10000,100
55,205,13333.3,100
50,203,13333.3,100
45,202,13333.3,100
40,200,13333.3,100
35,198,13333.3,100
30,196,13333.3,100
25,192,20000,100
20,186,20000,100
15,175,20000,100
10,158,20000,99.75
