efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.005,22298.9,36.4176,6.86
1400,0.005,26810.1,36.4276,6.86
1100,0.005,30679.2,36.4339,6.86
1000,0.005,32711.8,36.4365,6.86
900,0.005,34381,36.4385,6.86
800,0.005,34927.8,36.4391,6.86
700,0.005,35435.3,36.4397,6.86
600,0.005,35861,36.4401,6.86
500,0.005,35841.1,36.4401,6.86
400,0.005,35867.1,36.4401,6.86
300,0.005,36589.9,36.4409,6.785
250,0.005,37664.4,36.4419,6.635
200,0.005,38298.9,36.4425,6.475
180,0.005,39179,36.4433,6.435
160,0.005,39888.8,36.4439,6.365
140,0.005,40567.8,36.4444,6.275
120,0.005,41288.6,36.445,6.14
100,0.005,42418.1,36.4458,6.025
90,0.005,42302.6,36.4458,5.985
80,0.005,43047.2,36.4463,5.95
70,0.005,44285.8,36.4472,5.775
60,0.005,45558.1,36.448,5.605
55,0.005,46629.3,36.4487,5.51
50,0.005,45117,36.4477,5.3
45,0.005,47608.4,36.4493,5.16
40,0.005,49542.9,36.4503,5.015
35,0.005,52356.8,36.4518,4.77
30,0.005,54556.5,36.4528,4.465
25,0.005,56883.5,36.4538,4.275
20,0.005,60332.3,36.4551,4.095
15,0.005,63835.4,36.4563,3.82
10,0.0035,67340.5,36.4574,3.415
