L,Cmps,QPS,Recall
1700,7201,487.805,92.5
1400,6691,568.182,91.35
1100,6070,662.252,90.25
1000,5829,704.225,89.8
900,5580,751.88,89.15
800,5299,809.717,88.35
700,4992,877.193,87.75
600,4664,956.938,87.1
500,4251,1069.52,85.45
400,3784,1226.99,83.25
300,3222,1449.28,80.15
250,2928,1600,79.15
200,2573,1801.8,76.9
180,2421,1886.79,76.55
160,2257,1980.2,75.2
140,2086,2127.66,73.85
120,1911,2272.73,72.45
100,1711,2469.14,70.25
90,1607,2597.4,69.35
80,1488,2739.73,67.6
70,1367,2898.55,66.5
60,1245,3076.92,63.35
55,1179,3174.6,61.45
50,1116,3278.69,61.05
45,1045,3389.83,58.25
40,968,3508.77,57.5
35,889,3636.36,55.35
30,816,3773.58,53.3
25,724,3921.57,50.55
20,635,4166.67,48.7
15,534,4545.45,45.5
10,424,4878.05,39.9
