nprobe,recall,qps
1,0.3443,50.1
2,0.4558,50.4
3,0.5008,47.8
5,0.5798,49.2
10,0.6708,34.0
20,0.7531,20.5
30,0.7878,20.1
50,0.8348,19.8
100,0.8917,19.5
200,0.9339,19.0
500,0.9792,17.4
1000,0.9989,15.7
