ef,recall,qps
2000,0.9969,28.5
1900,0.9969,29.2
1800,0.9969,29.7
1700,0.9969,31.1
1600,0.9968,32.3
1500,0.9968,34.1
1400,0.9968,34.8
1300,0.9968,29.9
1200,0.9968,29.7
1100,0.9968,25.6
1000,0.9968,27.0
900,0.9968,30.5
800,0.9962,18.4
700,0.9957,16.2
600,0.9948,18.5
500,0.9951,19.1
400,0.9971,19.6
300,0.9975,19.5
250,0.9975,19.4
200,0.9966,19.0
180,0.9965,18.9
160,0.9964,18.9
140,0.9963,18.9
120,0.9961,18.9
100,0.9958,18.8
90,0.9957,19.0
80,0.9955,18.9
70,0.9949,19.1
60,0.9942,19.1
55,0.9938,19.1
50,0.9933,19.0
45,0.9930,19.2
40,0.9921,19.4
35,0.9918,20.6
30,0.9904,19.6
25,0.9884,18.2
20,0.9862,19.2
15,0.9811,18.8
10,0.9692,19.2
