L,Cmps,QPS,Recall
1700,22803,64.3087,72
1400,20787,78.5855,70.25
1100,18582,92.8074,67.75
1000,17665,97.7995,66.25
900,16679,104.987,65.25
800,15558,114.286,64
700,14422,123.839,62.25
600,13243,136.054,60.75
500,11827,153.846,56.25
400,10308,179.372,55.5
300,8678,215.054,52.5
250,7714,243.902,50.75
200,6671,285.714,48
180,6235,305.344,46.5
160,5771,333.333,45.25
140,5293,363.636,44.5
120,4691,412.371,41
100,4200,459.77,39.5
90,3918,493.827,38.25
80,3644,533.333,36.5
70,3344,579.71,34.25
60,3006,645.161,33
55,2822,677.966,32.25
50,2655,714.286,31.25
45,2457,769.231,29.25
40,2271,851.064,28.5
35,2085,930.233,27.5
30,1862,1025.64,26.5
25,1662,1142.86,25
20,1402,1333.33,21.75
15,1162,1600,20.5
10,899,2000,19.75
