L,Cmps,QPS,Recall
1700,2503,1736.11,99.97
1400,2382,1953.12,99.955
1100,2242,2247.19,99.945
1000,2188,2389.49,99.94
900,2129,2541.3,99.93
800,2063,2728.51,99.915
700,1988,2949.85,99.905
600,1902,3225.81,99.87
500,1799,3584.23,99.795
400,1672,4089.98,99.615
300,1508,4807.69,99.405
250,1404,5291.01,99.165
200,1277,5988.02,98.755
180,1219,6289.31,98.545
160,1156,6734.01,98.34
140,1084,7220.22,97.855
120,1005,7843.14,97.48
100,916,8620.69,96.775
90,866,9090.91,96.25
80,811,9661.84,95.7
70,754,10256.4,95.105
60,691,11049.7,94.2
55,657,11428.6,93.555
50,622,11904.8,92.835
45,583,12422.4,91.835
40,543,13157.9,90.775
35,501,13888.9,89.76
30,456,14705.9,88.09
25,407,15625,85.85
20,355,16666.7,82.82
15,299,18518.5,78.765
10,235,20618.6,71.805
