ef_search,recall,qps
2000,0.9131,11.6
1900,0.9131,11.6
1800,0.9131,11.5
1700,0.9131,11.5
1600,0.9131,11.4
1500,0.9131,11.6
1400,0.9131,11.7
1300,0.9131,11.4
1200,0.9131,11.6
1100,0.9131,11.4
1000,0.9131,11.4
900,0.9008,11.7
800,0.8853,11.8
700,0.8659,11.8
600,0.8431,12.1
500,0.8136,12.5
400,0.7780,12.8
300,0.7277,12.9
250,0.6965,13.1
200,0.6591,13.1
180,0.6414,13.3
160,0.6227,13.1
140,0.6026,13.3
120,0.5799,13.1
100,0.5476,13.6
90,0.5320,13.8
80,0.5144,13.5
70,0.4936,13.7
60,0.4687,13.7
55,0.4552,13.8
50,0.4405,13.8
45,0.4238,13.8
40,0.4068,13.8
35,0.3901,13.9
30,0.3727,13.8
25,0.3551,14.0
20,0.3379,14.1
15,0.3204,14.0
10,0.3029,14.0
