probes,recall,qps
1,0.3813,17.0
2,0.4819,16.9
3,0.5506,17.0
5,0.6434,16.6
10,0.7670,16.5
20,0.8749,15.6
30,0.9234,14.8
50,0.9650,13.6
100,0.9928,10.9
200,0.9995,7.8
500,1.0000,4.2
1000,1.0000,3.4
