L,Cmps,QPS,Recall
1700,8487,784.006,99.84
1400,7887,913.659,99.785
1100,7150,1101.93,99.66
1000,6865,1206.27,99.615
900,6551,1301.24,99.555
800,6205,1437.81,99.46
700,5824,1581.03,99.37
600,5395,1782.53,99.135
500,4912,2042.9,98.905
400,4349,2427.18,98.37
300,3687,2980.63,97.66
250,3306,3389.83,97.145
200,2873,3976.14,96.12
180,2686,4291.85,95.66
160,2487,4629.63,95.025
140,2274,5089.06,94.105
120,2046,5649.72,92.855
100,1801,6389.78,91.38
90,1669,6849.31,90.23
80,1534,7462.69,88.94
70,1393,8130.08,87.465
60,1246,8968.61,85.415
55,1168,9302.33,84.125
50,1088,9950.25,82.715
45,1007,10582,81.16
40,926,11299.4,79.305
35,839,12195.1,77.15
30,753,13157.9,74.805
25,659,14492.8,71.475
20,563,16129,67.515
15,463,18348.6,62.04
10,355,21505.4,53.88
