L,Cmps,QPS,Recall
1700,4130,473.934,99.75
1400,3829,530.504,99.7
1100,3476,607.903,99.7
1000,3345,641.026,99.7
900,3202,687.285,99.6
800,3049,793.651,99.55
700,2881,881.057,99.55
600,2700,966.184,99.4
500,2498,1081.08,99.2
400,2266,1250,98.95
300,1994,1459.85,98.4
250,1832,1626.02,98.05
200,1647,1869.16,97.5
180,1563,1980.2,97.3
160,1474,2127.66,96.95
140,1377,2298.85,96.85
120,1268,2531.65,96.5
100,1150,2857.14,95.55
90,1086,3030.3,95.1
80,1018,3278.69,94.55
70,945,3508.77,93.9
60,866,3846.15,93.4
55,825,4081.63,93.05
50,780,4255.32,92.5
45,734,4545.45,91.95
40,679,4878.05,90.6
35,629,5263.16,89.95
30,572,5882.35,89.25
25,508,6451.61,87.15
20,444,7407.41,85.25
15,375,8695.65,82.8
10,301,10526.3,78.6
