L,Cmps,QPS,Recall
1700,91316,18.6324,95.15
1400,79900,21.725,93.8
1100,67542,26.0044,91.6
1000,62997,28.0034,90.95
900,58177,30.446,89.5
800,53229,33.4448,88.4
700,48209,37.092,87.15
600,42997,41.8148,85.85
500,37488,48.0423,84.1
400,31434,57.7868,81.75
300,25059,72.8332,77.95
250,21682,84.3882,76.25
200,18052,101.678,73.15
180,16592,110.988,72.05
160,14967,122.775,69.6
140,13349,138.122,67.25
120,11733,156.74,64.95
100,10112,182.983,62.65
90,9244,200.401,60.4
80,8405,220.264,58.25
70,7515,246.305,56.2
60,6681,278.552,53.45
55,6211,270.27,51.5
50,5757,297.619,50.05
45,5296,323.625,48.5
40,4832,358.423,46.8
35,4327,387.597,43.9
30,3877,444.444,42.2
25,3361,515.464,38.6
20,2853,606.061,35
15,2303,751.88,31.4
10,1751,995.025,27.7
