ef,recall,qps,distance_computations_per_query
1700,0.9105,0.234669,2984730
1400,0.9105,0.239424,2927290
1100,0.9105,0.25416,2822580
1000,0.9105,0.262826,2771220
900,0.9105,0.273928,2702170
800,0.9105,0.2979,2614280
700,0.9105,0.311911,2502520
600,0.91,0.34076,2362880
500,0.91,0.400042,2184640
400,0.91,0.479103,1955110
300,0.91,0.612674,1661280
250,0.9095,0.705554,1485180
200,0.909,0.851992,1273880
180,0.909,0.95011,1175960
160,0.909,1.08584,1070540
140,0.9075,1.25775,956472
120,0.9065,1.44395,830854
100,0.905,1.63987,686963
90,0.905,1.93304,614954
80,0.9045,2.21391,542925
70,0.904,2.57245,471847
60,0.901,2.8458,399502
55,0.9005,3.015,366638
50,0.896,3.47186,331991
45,0.894,3.9984,295090
40,0.8925,4.0085,264115
35,0.889,4.81452,232630
30,0.8825,5.76518,205228
25,0.873,6.662,180870
20,0.8635,7.79788,162327
15,0.8485,9.64088,141118
10,0.819,12.8304,109015
