ef,recall,qps,distance_computations_per_query
1700,0.964,0.418404,2154090
1400,0.964,0.486765,1936660
1100,0.963,0.64147,1671180
1000,0.963,0.669216,1568500
900,0.962,0.742176,1455890
800,0.9615,0.792811,1335480
700,0.9615,0.956759,1201330
600,0.961,1.04811,1050100
500,0.9595,1.2402,885962
400,0.959,1.63843,713254
300,0.959,2.30136,534945
250,0.956,2.51563,439872
200,0.952,3.24144,346709
180,0.9485,3.65965,311117
160,0.9475,4.11548,276789
140,0.9445,4.66799,244362
120,0.9435,5.38837,217127
100,0.9425,6.14062,195911
90,0.9395,6.26999,185745
80,0.937,6.82547,175401
70,0.933,7.83976,163357
60,0.93,8.87784,149371
55,0.927,9.49037,142196
50,0.923,9.73852,134369
45,0.9195,11.1439,125928
40,0.9145,12.2055,116696
35,0.9095,14.3854,106864
30,0.904,16.5714,95955.9
25,0.8945,19.6657,83546.4
20,0.8735,24.266,70014
15,0.8465,31.6206,56269.2
10,0.805,46.7836,40460.8
