ef,recall,qps,distance_computations_per_query
1700,0.988,2.4785,486888
1400,0.9875,2.74797,411427
1100,0.9845,3.26931,333656
1000,0.9845,3.54591,308575
900,0.984,4.11091,283806
800,0.984,4.5939,259304
700,0.9795,5.21676,237629
600,0.982,5.92119,218512
500,0.9775,6.79902,197997
400,0.9755,8.12843,173081
300,0.975,10.1735,144174
250,0.9745,12.062,127422
200,0.973,14.7243,108807
180,0.9725,16.193,100598
160,0.9715,18.0636,91881.1
140,0.971,20.4834,82540.5
120,0.972,23.6602,72678.9
100,0.966,28.1017,62881.8
90,0.9655,31.109,57465.3
80,0.9635,34.8008,52122.1
70,0.963,39.4011,46659.7
60,0.96,45.403,41088.4
55,0.9585,49.0798,38411
50,0.958,53.376,35627.3
45,0.9565,58.4795,32811.9
40,0.959,64.7249,30005.6
35,0.9535,73.0194,26900.2
30,0.9525,83.2293,23910.9
25,0.9515,98.4252,20388.3
20,0.949,121.139,16739.7
15,0.941,155.4,13365.5
10,0.934,219.539,9676.67
