ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_overlap/sift1m_overlap_Q4_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_overlap/Q4_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,56.1041,62941.8
1400,1,66.2822,54654.2
1100,1,79.8021,45777.2
1000,1,81.6093,42651
900,1,91.2742,39437
800,0.99995,106.287,36116.6
700,0.99995,109.081,32669
600,0.9999,122.279,29077.2
500,0.9999,143.73,25319.8
400,0.9998,181.373,21335.1
300,0.9995,237.643,17069.2
250,0.99895,263.574,14814.9
200,0.9986,307.929,12440
180,0.9983,336.814,11448.7
160,0.99755,372.509,10431.5
140,0.99655,417.973,9382.37
120,0.9951,498.256,8302.48
100,0.9933,605.51,7179.98
90,0.9918,664.452,6602.77
80,0.98945,730.46,6012.56
70,0.98645,827.815,5412.54
60,0.98195,947.867,4791.57
55,0.9786,1025.12,4476.27
50,0.975,1115.45,4154.99
45,0.9706,1229.26,3828.88
40,0.9641,1365.19,3496.69
35,0.95665,1539.65,3156.4
30,0.94475,1700.68,2810.11
25,0.9309,1928.64,2459.21
20,0.90815,2320.19,2095
15,0.873,2923.98,1723.23
10,0.81045,3960.4,1328.88
