ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_overlap/sift1m_overlap_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_overlap/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,100.99,35316.9
1400,1,118.455,30636
1100,1,143.988,25629.5
1000,1,155.533,23874.1
900,1,169.678,22067.7
800,1,186.863,20196.4
700,1,208.464,18258.5
600,1,236.379,16240.3
500,1,275.179,14121.1
400,0.9999,327.439,11885.1
300,0.9995,415.8,9494.5
250,0.9993,484.379,8227.76
200,0.9983,581.903,6900.65
180,0.99735,618.429,6346.85
160,0.99655,699.79,5778.78
140,0.9956,806.452,5198.76
120,0.99375,917.431,4597.9
100,0.99085,1068.38,3974.63
90,0.9889,1147.45,3654.96
80,0.9859,1222.49,3327.3
70,0.98205,1421.46,2991.53
60,0.9775,1615.51,2650.06
55,0.9732,1737.62,2473.7
50,0.96935,1874.41,2296.36
45,0.96245,2057.61,2113.1
40,0.9553,2270.15,1929.83
35,0.9455,2538.07,1742.29
30,0.93165,2865.33,1551.16
25,0.91325,3338.9,1358.24
20,0.88785,3968.25,1163.69
15,0.84995,4950.5,962.179
10,0.77645,6600.66,750.787
