ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_overlap/sift1m_overlap_Q1_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_overlap/Q1_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,103.627,31314.9
1400,1,125.219,27330.4
1100,1,145.645,23036.3
1000,1,157.233,21513.6
900,1,171.072,19944.5
800,1,187.477,18316.1
700,1,215.424,16616.1
600,0.99995,238.379,14840.7
500,0.99995,276.358,12969.6
400,0.9999,330.36,10985.4
300,0.9999,418.06,8836.01
250,0.99975,483.91,7683.53
200,0.99935,580.383,6477.18
180,0.9991,631.313,5973.49
160,0.9988,696.379,5452.87
140,0.9984,845.666,4915.7
120,0.99705,963.391,4358.51
100,0.99585,1117.32,3784.95
90,0.9948,1215.07,3486.88
80,0.9932,1339.58,3177.12
70,0.99095,1495.89,2860.28
60,0.98755,1692.05,2536.16
55,0.9849,1821.49,2369.31
50,0.98235,1968.5,2199.14
45,0.97835,2145.92,2026.96
40,0.973,2364.07,1850.3
35,0.96625,2635.05,1671.74
30,0.95755,2971.77,1490.72
25,0.9417,3407.16,1305.55
20,0.91905,4024.14,1112.43
15,0.88165,4975.12,916.711
10,0.8185,6514.66,712.876
