ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_overlap/sift1m_overlap_Q3_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_overlap/Q3_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,89.4254,36458.8
1400,1,106.587,31717.9
1100,1,138.552,26632.7
1000,1,138.408,24840.2
900,1,154.214,22989.4
800,1,178.269,21074.9
700,1,193.461,19085.7
600,0.99995,205.931,17004.3
500,0.9999,255.395,14821.1
400,0.99985,314.861,12510.2
300,0.9995,371.678,10037.4
250,0.9991,430.015,8722.91
200,0.99875,517.464,7334.78
180,0.99805,562.43,6756.22
160,0.9976,621.118,6163.85
140,0.9969,694.927,5552.49
120,0.9953,784.929,4919.74
100,0.9925,930.233,4266.55
90,0.9907,983.284,3927.84
80,0.98765,1075.85,3585.79
70,0.98405,1206.27,3232.9
60,0.97825,1350.44,2872.89
55,0.975,1470.59,2688.8
50,0.97005,1583.53,2502.09
45,0.9644,1731.6,2310.72
40,0.95695,1867.41,2119.88
35,0.94725,2103.05,1924.25
30,0.9351,2378.12,1723.83
25,0.91675,2743.48,1518.13
20,0.89345,3210.27,1312.07
15,0.8543,3913.89,1097.95
10,0.7852,5102.04,874.435
