L,Cmps,QPS,Recall
1700,53174,95.057,68.8
1400,46142,114.416,65.95
1100,38472,141.743,62.3
1000,35853,154.202,60.9
900,33154,169.492,59.5
800,30417,187.266,57.85
700,27568,209.644,56.4
600,24452,240.385,53.6
500,21187,282.486,50.35
400,17835,340.136,48.5
300,14316,429.185,45.8
250,12423,497.512,44.05
200,10426,593.472,41.65
180,9692,643.087,40.75
160,8881,699.301,39.95
140,8052,772.201,38.6
120,7182,862.069,37.7
100,6290,985.222,36.05
90,5851,1052.63,34.7
80,5365,1142.86,33.9
70,4886,1242.24,32.7
60,4367,1388.89,31.25
55,4099,1470.59,30.25
50,3821,1550.39,29.05
45,3554,1652.89,28.4
40,3295,1769.91,27.5
35,3019,1923.08,26.35
30,2725,2083.33,25.05
25,2416,2298.85,23.35
20,2080,2531.65,20.95
15,1711,2941.18,18.15
10,1332,3508.77,15.35
