L,Cmps,QPS,Recall
1700,26639,67.4992,97.8
1400,23256,78.4929,96.65
1100,19670,94.2951,95.9
1000,18403,101.061,95.6
900,17082,109.29,95.25
800,15623,120.627,94.4
700,14077,127.714,93.15
600,12514,141.743,92
500,10889,164.609,90.65
400,9111,197.433,87.7
300,7275,250,83.55
250,6244,291.971,81.15
200,5207,351.494,77.75
180,4778,382.409,76.2
160,4342,422.833,74.25
140,3902,471.698,72.4
120,3435,536.193,69.7
100,2945,626.959,66.75
90,2662,694.444,62.75
80,2412,769.231,60
70,2144,865.801,57.35
60,1897,980.392,54.1
55,1756,1063.83,51.6
50,1637,1136.36,50.4
45,1506,1219.51,48.15
40,1371,1333.33,46.4
35,1230,1492.54,43.35
30,1087,1724.14,40.1
25,943,1980.2,36.9
20,797,2352.94,33.5
15,649,2898.55,28.9
10,485,3921.57,22.55
