GT,Result
1381303 1381318 1381309 1381311 1381313 1381304 1381316 1381324 1381308 1381302 ,1381303 1381318 1381309 1381311 1381313 1381304 1381316 1381324 1381308 1381302 
1427267 1427259 1427272 1427253 1427275 1427250 1427268 1427266 1427257 1427264 ,1427267 1427259 1427272 1427253 1427275 1427250 1427268 1427266 1427257 1427264 
2026995 2026982 2026996 2026980 2026997 2026979 2026992 2026984 2026977 2026990 ,2026995 2026982 2026996 2026980 2026997 2026979 2026992 2026984 2026977 2026990 
4541303 4541290 4541295 4541287 4541301 4541306 4541291 4541300 4541288 4541307 ,4541303 4541290 4541295 4541287 4541301 4541306 4541291 4541300 4541288 4541307 
4018994 4018972 4018995 4018974 4018992 4018993 4018991 4018971 4018978 4018977 ,4018994 4018972 4018995 4018974 4018992 4018993 4018991 4018971 4018978 4018977 
1231153 1231173 1231165 1231147 1231152 1231168 1231171 1231159 1231167 1231163 ,1231153 1231173 1231165 1231147 1231152 1231168 1231171 1231159 1231167 1231163 
4482922 4482937 4482931 4482920 4482938 4482930 4482932 4482929 4482940 4482936 ,4482922 4482937 4482931 4482920 4482938 4482930 4482932 4482929 4482940 4482936 
1125581 1125577 1125579 1125580 1125567 1125578 1125572 1125586 1125583 1125590 ,1125581 1125577 1125579 1125580 1125567 1125578 1125572 1125586 1125583 1125590 
141155 141171 141154 141150 141166 141152 141151 141156 141161 141149 ,141155 141171 141154 141150 141166 141152 141151 141156 141161 141149 
2937878 2937885 2937876 2937880 2937877 2937879 2937875 2937884 2937883 2937868 ,2937878 2937885 2937876 2937880 2937877 2937879 2937875 2937884 2937883 2937868 
4389417 4389411 4389420 4389414 4389425 4389438 4389419 4389410 4389413 4389415 ,4389417 4389411 4389420 4389414 4389425 4389438 4389419 4389410 4389413 4389415 
1522214 1522218 1522207 1522210 1522200 1522212 1522215 1522216 1522201 1522228 ,1522214 1522218 1522207 1522210 1522200 1522212 1522215 1522216 1522201 1522228 
4111541 4111543 4111537 4111542 4111539 4111545 4111547 4111548 4111538 4111540 ,4111541 4111543 4111537 4111542 4111539 4111545 4111547 4111548 4111538 4111540 
2823415 2823402 2823392 2823408 2823407 2823409 2823414 2823389 2823387 2823388 ,2823415 2823402 2823392 2823408 2823407 2823409 2823414 2823389 2823387 2823388 
2172465 2172484 2172466 2172482 2172477 2172480 2172468 2172462 2172481 2172464 ,2172465 2172484 2172466 2172482 2172477 2172480 2172468 2172462 2172481 2172464 
1647258 1647263 1647282 1647279 1647264 1647274 1647276 1647254 1647278 1647273 ,1647258 1647263 1647282 1647279 1647264 1647274 1647276 1647254 1647278 1647273 
4282466 4282465 4282479 4282478 4282461 4282477 4282473 4282455 4282463 4282460 ,4282466 4282465 4282479 4282478 4282461 4282477 4282473 4282455 4282463 4282460 
4105220 4105197 4105217 4105218 4105208 4105215 4105219 4105209 4105200 4105195 ,4105220 4105197 4105217 4105218 4105208 4105215 4105219 4105209 4105200 4105195 
4671644 4671623 4671650 4671624 4671622 4671634 4671633 4671637 4671626 4671641 ,4671644 4671623 4671650 4671624 4671622 4671634 4671633 4671637 4671626 4671641 
