L,Cmps,QPS,Recall
1700,48.00,23213.82,99.95
1400,48.00,46159.23,99.95
1100,48.00,52319.73,99.95
1000,48.00,59886.34,99.95
900,48.00,63845.57,99.95
800,48.00,65433.21,99.95
700,48.00,66528.22,99.95
600,48.00,67109.93,99.95
500,48.00,67584.35,99.95
400,48.00,67558.07,99.95
300,48.00,68254.80,99.95
250,48.00,67566.98,99.95
200,48.00,67897.52,99.95
180,48.00,65610.73,99.95
160,48.00,66251.84,99.95
140,48.00,68055.98,99.95
120,48.00,68363.75,99.95
100,48.00,68681.84,99.95
90,48.00,69255.46,99.95
80,48.00,68154.55,99.95
70,48.00,68673.35,99.95
60,48.00,68599.15,99.95
55,48.00,67597.80,99.95
50,48.00,66662.80,99.95
45,48.00,66605.52,99.95
40,48.00,66455.03,99.95
35,48.00,68953.68,99.95
30,48.00,69970.44,99.95
25,48.00,72308.57,99.90
20,48.00,75853.83,99.95
15,48.00,80291.78,99.50
10,47.00,89480.81,99.10
