1700,0.091,21.7424,56069
1400,0.091,27.8746,48666.6
1100,0.091,35.7015,40694.2
1000,0.091,38.7132,37883.9
900,0.0911,42.0787,34987.8
800,0.0911,46.2299,31981.9
700,0.0911,51.2321,28900.1
600,0.0911,60.8865,25658.3
500,0.0911,68.4041,22265
400,0.0911,82.8844,18678
300,0.091,105.097,14865
250,0.091,121.758,12833.4
200,0.0912,150.58,10720
180,0.091,164.204,9845.09
160,0.091,180.603,8955.02
140,0.091,194.439,8008.96
120,0.0911,220.702,7063.21
100,0.0912,258.264,6060.9
90,0.091,290.529,5551.72
80,0.0907,325.733,5042.42
70,0.0909,365.497,4500.97
60,0.0911,415.8,3958.35
55,0.0912,447.027,3685.77
50,0.0911,467.29,3411.68
45,0.0906,504.796,3121.53
40,0.0906,556.483,2833.31
35,0.0909,619.195,2549.09
30,0.091,702.741,2248.13
25,0.0902,843.882,1945.36
20,0.09,1022.49,1633.72
15,0.0906,1280.41,1307.51
10,0.091,1727.12,978.302
