probes,recall,qps
1,0.2540,198.2
2,0.3782,137.0
3,0.4556,105.1
5,0.5659,71.8
10,0.7027,41.5
20,0.8286,23.1
30,0.8860,16.7
50,0.9414,10.4
100,0.9807,5.6
200,0.9951,3.0
500,1.0000,2.5
1000,1.0000,2.5
