ef_search,recall,qps
2000,1.0000,2.4
1900,1.0000,2.4
1800,1.0000,2.5
1700,1.0000,2.5
1600,1.0000,2.5
1500,1.0000,2.5
1400,1.0000,2.4
1300,1.0000,2.4
1200,1.0000,2.4
1100,1.0000,2.4
1000,1.0000,2.4
900,1.0000,2.4
800,1.0000,2.5
700,1.0000,2.6
600,0.9891,17.7
500,0.9498,38.2
400,0.9168,47.7
300,0.8528,60.3
250,0.8017,66.7
200,0.7307,77.4
180,0.6943,85.7
160,0.6500,91.8
140,0.5979,108.3
120,0.5378,119.1
100,0.4664,132.7
90,0.4293,137.2
80,0.3940,148.3
70,0.3540,164.8
60,0.3138,188.9
55,0.2898,199.2
50,0.2670,210.1
45,0.2436,222.1
40,0.2193,250.2
35,0.1937,275.4
30,0.1674,273.6
25,0.1411,304.4
20,0.1145,338.3
15,0.0870,366.7
10,0.0553,393.1
