L,Cmps,QPS,Recall
1700,19008,96.5251,99.1
1400,17030,109.409,98.9
1100,14750,120.773,97.55
1000,13873,131.579,96.5
900,12997,141.143,96.1
800,12029,153.846,95.4
700,11038,168.492,95.05
600,9961,187.97,94.35
500,8812,214.362,93.35
400,7541,264.55,92.15
300,6084,331.675,89.45
250,5276,383.877,87.25
200,4470,456.621,85
180,4132,492.611,83.5
160,3754,543.478,81.35
140,3379,604.23,79.3
120,2993,682.594,76.8
100,2572,793.651,72.65
90,2356,865.801,70.9
80,2137,952.381,68.55
70,1913,1010.1,65.9
60,1686,1156.07,62.35
55,1576,1242.24,60.85
50,1470,1324.5,59.65
45,1343,1449.28,57.05
40,1232,1574.8,54.55
35,1106,1739.13,51.75
30,993,1923.08,49.7
25,870,2173.91,46.55
20,730,2564.1,42.5
15,587,3125,37
10,447,4000,31.3
