L,Cmps,QPS,Recall
1700,18289,297.619,84
1400,15761,360.36,82.3
1100,13001,448.43,80.2
1000,12039,488.998,79.1
900,11097,536.193,78.75
800,10087,593.472,77
700,9049,666.667,75.85
600,8043,760.456,74.25
500,6996,884.956,72.75
400,5875,1063.83,70.05
300,4715,1351.35,65.9
250,4059,1574.8,63.5
200,3403,1904.76,61.2
180,3122,2061.86,59.3
160,2845,2272.73,57.8
140,2589,2500,56.6
120,2308,2816.9,54.05
100,2053,3225.81,53.1
90,1888,3508.77,51.5
80,1750,3846.15,50.45
70,1596,4255.32,48.75
60,1459,4651.16,47.3
55,1375,5000,46.3
50,1301,5405.41,45.85
45,1194,5882.35,43.9
40,1124,6250,43.55
35,1030,6896.55,42.25
30,921,7692.31,39.1
25,819,9090.91,36.55
20,696,11111.1,32.65
15,592,13333.3,29.95
10,455,18181.8,26.45
