ef,recall,qps,distance_computations_per_query
1700,0.845,1.17696,530287
1400,0.845,1.18504,529205
1100,0.845,1.21929,522131
1000,0.845,1.24301,516566
900,0.845,1.26956,507512
800,0.8425,1.32604,494973
700,0.8425,1.39714,478269
600,0.8425,1.49959,455179
500,0.8425,1.64069,425858
400,0.8425,1.91141,386911
300,0.84,2.32194,332730
250,0.84,2.61028,303110
200,0.84,3.09095,263393
180,0.84,3.31813,248339
160,0.84,3.59099,232741
140,0.8375,3.91696,216682
120,0.8375,4.33839,198807
100,0.8375,4.94621,177722
90,0.835,5.33049,166801
80,0.835,5.78453,155864
70,0.835,6.35324,143877
60,0.835,7.13649,129820
55,0.835,7.56144,123336
50,0.835,8.10537,116637
45,0.835,8.88099,107454
40,0.83,9.64553,100058
35,0.81,10.6242,91413.1
30,0.8,11.8835,83214.8
25,0.775,13.6846,73613.5
20,0.74,16.5631,61740.9
15,0.72,21.0859,48911.9
10,0.6575,26.8276,40256.2
