ef,recall,qps,distance_computations_per_query
1700,0.78,2.50705,336126
1400,0.7775,2.83809,305125
1100,0.7775,3.31923,268394
1000,0.775,3.53857,254359
900,0.775,3.8088,239052
800,0.775,4.12031,223550
700,0.775,4.52438,206177
600,0.775,5.02386,188281
500,0.7725,5.76203,166780
400,0.7725,6.79579,143977
300,0.75,8.51607,117580
250,0.73,9.83526,103491
200,0.71,11.8906,87147.1
180,0.705,12.9618,80610.1
160,0.695,14.1945,73695.1
140,0.685,16.214,65590.9
120,0.6775,18.6047,57692.3
100,0.6375,21.5517,50385.4
90,0.6125,23.571,46412.8
80,0.5975,25.74,42674.6
70,0.59,28.7977,38386.8
60,0.58,32.6531,34070.4
55,0.5775,35.0263,31905.5
50,0.57,37.8788,29608.5
45,0.5675,41.2797,27168
40,0.56,45.3515,24934.7
35,0.5575,49.9376,22741.8
30,0.5475,56.0224,20391.7
25,0.535,65.0407,17567.3
20,0.5075,78.4314,14766.3
15,0.435,100.503,11771.4
10,0.3825,135.135,9089.7
