ef,recall,qps,distance_computations_per_query
1700,0.8425,1.43297,493842
1400,0.8425,1.59719,460513
1100,0.8425,1.86602,414192
1000,0.8425,1.99452,394843
900,0.8425,2.14569,373956
800,0.8425,2.32748,351293
700,0.8425,2.55053,326706
600,0.84,2.83789,300666
500,0.8375,3.2386,269485
400,0.835,3.79579,236242
300,0.835,4.69373,197439
250,0.835,5.39084,175292
200,0.835,6.45265,149703
180,0.83,7.14158,136447
160,0.8275,7.99361,122904
140,0.825,9.01307,110435
120,0.825,10.4575,96066.9
100,0.82,12.3686,82109.8
90,0.8,13.4499,76055.7
80,0.8,15.0376,68480.4
70,0.78,16.9348,61289.1
60,0.7725,19.305,54348.2
55,0.7525,20.4186,51735.8
50,0.715,22.409,47496.6
45,0.71,24.4349,43734.1
40,0.705,27.0636,39784.5
35,0.7025,30.2801,35755.8
30,0.6975,33.5289,32650
25,0.6875,38.5356,28611.7
20,0.6775,45.1977,24547.9
15,0.6525,56.6572,19869.8
10,0.605,78.8955,14467.9
