ef,recall,qps,distance_computations_per_query
1700,0.9875,17.3536,35328.5
1400,0.9875,17.5055,35328.5
1100,0.9875,17.5593,35328.5
1000,0.9875,17.6367,35328.5
900,0.9875,17.6289,35328.5
800,0.9875,17.6367,35328.5
700,0.9875,17.6289,35328.5
600,0.9875,17.6523,35328.5
500,0.9875,17.6134,35328.5
400,0.9875,17.9775,35126.2
300,0.9875,22.2099,31599.3
250,0.9875,26.0417,28618.2
200,0.9875,32.9218,23953.3
180,0.9875,37.037,21837.8
160,0.9875,44.1014,18645.8
140,0.9875,53.5475,15468.2
120,0.9875,64.2055,12791.3
100,0.9875,69.9301,11821.6
90,0.9875,75.188,11096.4
80,0.9875,79.8403,10553.7
70,0.9875,82.9876,10133.5
60,0.9875,89.6861,9445.75
55,0.9875,93.6768,9035.08
50,0.9875,98.0392,8719.4
45,0.9875,106.952,7895.35
40,0.9875,113.96,7528.75
35,0.9875,117.302,7400.7
30,0.9875,132.89,6682.02
25,0.9875,147.601,6197.95
20,0.9875,160.643,5904.38
15,0.9625,187.793,5407.73
10,0.9625,250,4085.75
