L,Cmps,QPS,Recall
1700,9043.00,296.48,97.30
1400,8539.00,327.38,96.75
1100,7937.00,366.75,95.25
1000,7703.00,381.70,94.65
900,7464.00,395.80,94.00
800,7201.00,417.19,93.80
700,6900.00,437.60,92.35
600,6602.00,461.81,91.90
500,6277.00,486.70,91.30
400,5894.00,509.73,89.15
300,5494.00,579.45,86.85
250,5278.00,618.86,85.95
200,5047.00,644.38,83.20
180,4950.00,596.85,83.10
160,4842.00,633.48,81.60
140,4737.00,645.26,81.15
120,4622.00,655.45,79.15
100,4505.00,673.19,77.35
90,4441.00,675.25,76.70
80,4375.00,688.03,74.50
70,4311.00,694.68,74.50
60,4241.00,702.70,72.60
55,4208.00,705.14,72.95
50,4175.00,709.63,71.35
45,4137.00,712.22,71.15
40,4103.00,719.78,69.90
35,4071.00,724.40,69.45
30,4027.00,729.06,68.20
25,3986.00,736.14,66.00
20,3947.00,739.18,64.10
15,3903.00,744.14,60.65
10,3860.00,745.90,58.40
