1700,0.9997,6.40623,119197
1400,0.9997,7.67636,112943
1100,0.9997,7.93172,104950
1000,0.9997,8.55256,101802
900,0.9998,8.94855,98251
800,0.9998,9.59389,94412.9
700,0.9997,9.87928,90054
600,0.9997,10.917,85019.4
500,0.9997,11.5303,79034
400,0.9998,13.1335,71374.6
300,0.9992,17.1733,61570.6
250,0.9992,19.4122,55731.4
200,0.9989,22.7749,49025.7
180,0.9985,24.6305,45970.1
160,0.9984,24.1214,42816.4
140,0.9985,30.227,39409.9
120,0.9981,33.592,35736.4
100,0.9977,37.8702,31679.8
90,0.9974,42.2476,29422.9
80,0.9973,46.4987,27007.8
70,0.9965,50.0801,24607.1
60,0.9965,55.4078,22004.4
55,0.9963,52.5735,20706.5
50,0.9964,59.2909,19350.4
45,0.9959,73.1743,17843
40,0.9947,80.6452,16352
35,0.9938,90.2364,14740.2
30,0.9929,102.648,13081.4
25,0.9917,114.286,11350.3
20,0.9893,142.816,9563.24
15,0.9851,181.389,7612.04
10,0.9749,258.065,5414
