L,Cmps,QPS,Recall
1700,114534,23.3672,88.85
1400,99536,27.2072,87.7
1100,83099,32.8515,86.15
1000,77128,35.6443,85.6
900,71184,38.7747,85.1
800,64892,43.9078,84.1
700,58493,49.4682,83.2
600,51616,53.6625,81
500,44533,64.288,79.5
400,37087,77.8816,77.65
300,29275,98.3284,75
250,25222,113.379,73.45
200,20936,135.501,71.25
180,19090,147.929,69.65
160,17280,161.681,68.75
140,15477,180.18,66.8
120,13542,204.082,64.4
100,11578,234.467,61.5
90,10616,254.453,59.8
80,9609,267.38,58.15
70,8590,308.166,56.1
60,7584,343.643,54.8
55,7018,367.647,53.55
50,6497,393.701,52.45
45,5956,424.628,51.1
40,5428,459.77,49.95
35,4881,501.253,48.4
30,4341,554.017,46.1
25,3770,619.195,43.7
20,3206,696.864,41.55
15,2634,816.327,38.05
10,2019,995.025,33.05
