L,Cmps,QPS,Recall
1700,429,2857.14,99.5
1400,429,3333.33,99.5
1100,428,3333.33,99.5
1000,429,3333.33,99.5
900,429,3333.33,99.5
800,429,3333.33,99.5
700,429,3333.33,99.5
600,428,3333.33,99.5
500,428,3333.33,99.5
400,426,3333.33,99.5
300,420,3636.36,99.5
250,413,4000,99.5
200,405,4444.44,99.5
180,400,4444.44,99.5
160,394,5000,99.5
140,388,5000,99.5
120,381,5714.29,99.25
100,372,5714.29,99.25
90,365,5714.29,99.25
80,358,6666.67,99.25
70,351,6666.67,99.25
60,343,6666.67,99.25
55,338,6666.67,99.25
50,331,8000,99.25
45,322,6666.67,99.25
40,313,8000,99.25
35,303,8000,99.25
30,294,10000,99.25
25,278,10000,99.25
20,258,10000,99.25
15,230,13333.3,99
10,193,20000,98.5
