ef_search,recall,qps
2000,0.9930,2.5
1900,0.9930,2.4
1800,0.9930,2.4
1700,0.9930,2.4
1600,0.9930,2.5
1500,0.9930,2.6
1400,0.9930,2.6
1300,0.9930,2.5
1200,0.9930,2.5
1100,0.9930,2.6
1000,0.9930,2.6
900,0.9929,2.7
800,0.9929,2.6
700,0.9928,2.5
600,0.9928,2.3
500,0.9928,2.3
400,0.9928,2.6
300,0.9928,2.6
250,0.9928,2.6
200,0.9927,2.4
180,0.9927,2.2
160,0.9926,2.2
140,0.9926,2.6
120,0.9926,2.6
100,0.9926,2.5
90,0.9926,2.5
80,0.9926,2.5
70,0.9926,2.5
60,0.9926,2.4
55,0.9926,2.5
50,0.9926,2.5
45,0.9926,2.3
40,0.9926,2.4
35,0.9926,2.6
30,0.9926,2.6
25,0.9926,2.6
20,0.9926,2.6
15,0.9926,2.5
10,0.9926,2.5
