probes,recall,qps
1,0.8769,3.0
2,0.8829,2.9
3,0.8849,2.9
5,0.8885,3.1
10,0.9019,3.0
20,0.9129,2.9
30,0.9237,2.8
50,0.9413,2.7
100,0.9622,2.8
200,0.9946,2.6
500,0.9985,2.5
1000,0.9986,2.5
