probes,recall,qps
1,0.3132,143.0
2,0.4361,99.2
3,0.5075,74.3
5,0.5884,49.2
10,0.7025,28.7
20,0.7907,16.1
30,0.8366,10.1
50,0.8811,6.1
100,0.9329,3.2
200,0.9646,1.5
500,1.0000,0.5
1000,1.0000,0.4
