ef_search,recall,qps
2000,0.9383,19.7
1900,0.9383,20.0
1800,0.9383,20.1
1700,0.9383,20.1
1600,0.9383,20.2
1500,0.9383,20.2
1400,0.9383,20.1
1300,0.9383,19.9
1200,0.9383,20.0
1100,0.9383,20.0
1000,0.9383,20.1
900,0.9354,21.8
800,0.9326,23.8
700,0.9315,24.9
600,0.9286,26.4
500,0.9286,28.3
400,0.9225,31.4
300,0.9196,35.2
250,0.9182,37.2
200,0.9146,39.6
180,0.9146,41.1
160,0.9133,42.1
140,0.9110,42.9
120,0.9105,43.8
100,0.9092,44.6
90,0.9087,44.9
80,0.9086,45.7
70,0.9064,45.1
60,0.9063,46.1
55,0.9057,46.4
50,0.9062,46.4
45,0.9052,47.6
40,0.9046,47.0
35,0.9043,47.2
30,0.9036,48.0
25,0.9036,47.7
20,0.9020,47.5
15,0.8993,48.7
10,0.8993,49.1
