L,Cmps,QPS,Recall
1700,73184,25.0564,99.25
1400,64983,28.6369,99.2
1100,55832,33.7211,99
1000,52525,36.0881,98.95
900,49046,38.8123,98.95
800,45380,42.1496,98.9
700,41509,46.2963,98.8
600,37395,51.6129,98.75
500,32986,58.7544,98.7
400,28213,69.0608,98.6
300,22973,85.034,98.5
250,20115,97.2763,98.35
200,17063,114.745,98.1
180,15779,124.378,98.05
160,14451,135.593,97.8
140,13074,149.813,97.45
120,11653,167.785,97.25
100,10173,193.237,97.05
90,9399,208.551,96.9
80,8614,227.79,96.65
70,7786,250.941,96.3
60,6945,282.486,95.7
55,6516,299.401,95.2
50,6081,322.061,94.75
45,5644,344.234,94.45
40,5173,376.648,93.5
35,4711,413.223,92.95
30,4253,455.581,92.2
25,3752,515.464,90.15
20,3253,591.716,88.15
15,2740,696.864,84.95
10,2158,881.057,77.45
