L,Cmps,QPS,Recall
1700,60454,28.8725,93
1400,52944,33.3667,92.2
1100,44442,38.03,90.25
1000,41478,41.3394,89.75
900,38396,43.735,88.8
800,35147,47.3597,87.4
700,31781,52.687,86.05
600,28153,59.755,84.6
500,24448,69.1085,82.35
400,20360,83.4028,78.55
300,16089,107.296,73.75
250,13767,130.89,69.5
200,11523,157.853,66.4
180,10509,170.794,64.65
160,9519,181.159,62.55
140,8536,211.64,60.75
120,7399,236.686,57.35
100,6380,286.533,54.9
90,5870,312.5,53.5
80,5330,339.559,51.1
70,4785,383.877,49.45
60,4211,436.681,46.75
55,3926,469.484,45.35
50,3623,510.204,43.55
45,3316,518.135,41.75
40,3029,581.395,39.9
35,2707,636.943,37.15
30,2384,727.273,34.85
25,2084,829.875,32.6
20,1739,1000,29.2
15,1427,1212.12,26.4
10,1080,1587.3,21.5
